26.09.2012,01 xxxx,02 xxxx,03 xxxx,10 xxxx,50 xxxx,89 xxxx,90 xxxx,95 xxxx,98 xxxx,sum
0130000006 - МВР ЦУ,,,,993977.81,,,,,,993977.81
0130310001 - САД "ПУБ",,,,2262.61,,,,,,2262.61
013032**** - САД "УССД",29911.2,1350.03,36.36,421761.15,1240.22,,,,,454298.96
0130350004 - ИСТ,,,,15220.15,,,,,,15220.15
013036**** - Медицински институт,,,1854,182341.66,,,4734.4,,,188930.06
0130370000 - НСПО - ПУБ Китен,,,,7019.66,,,,,,7019.66
0130380009 - Дирекция Миграция,,,,10697.63,,,4077.24,,,14774.87
013040**** - СДВР,,,12836.22,30,,,,,,12866.22
013060**** - ГД "Национална полиция",,,,42111.91,,,,,,42111.91
013070**** - ГД "Гранична полиция",6276.14,99.37,,499737.42,,,1718.94,,,507831.87
0130900008 - САД "Международни проекти",274.15,38.03,,552.84,,,,,,865.02
0131000016 - ОД на МВР - Благоевград,11959.95,969.77,,46570,,,,,,59499.72
0131000021 - ОД на МВР - Бургас,,,,36903.5,,,,,,36903.5
0131000037 - ОД на МВР - Варна,,,,46087.21,,,,,,46087.21
0131000042 - ОД на МВР - В. Търново,716425.49,78015.26,46622.7,,,,,,,841063.45
0131000058 - ОД на МВР - Видин,2412.89,190.8,,2336,,,,,,4939.69
0131000063 - ОД на МВР - Враца,38635,492.4,,153261.9,,,,,,192389.3
0131000079 - ОД на МВР - Габрово,,,,,,,1546.96,,,1546.96
0131000084 - ОД на МВР - Добрич,,,,5755.85,,,,,,5755.85
0131000103 - ОД на МВР - Кюстендил,,,,12952.38,14430.24,500,,,,27882.62
0131000119 - ОД на МВР - Монтана,,,,3320.08,,,,,,3320.08
0131000124 - ОД на МВР - Ловеч,,,,8170.87,,,,,,8170.87
0131000130 - ОД на МВР - Пазарджик,,,,9615.72,,,,,,9615.72
0131000145 - ОД на МВР - Перник,,,,77231.16,,,1046.2,,,78277.36
0131000150 - ОД на МВР - Плевен,,,,28781.39,,,,,,28781.39
0131000166 - ОД на МВР - Пловдив,6776.9,,,110844.93,,,1066.3,,,118688.13
0131000171 - ОД на МВР - Разград,3015.2,,,8738.34,,,,,,11753.54
0131000187 - ОД на МВР - Русе,,,,7568,,,754,,,8322
0131000206 - ОД на МВР - Сливен,,,,,,,1118.68,,,1118.68
0131000211 - ОД на МВР - Смолян,,,,740.49,,,,,,740.49
0131000227 - ОД на МВР - София,,3106.14,,66244.22,,,,,,69350.36
0131000232 - ОД на МВР - Ст.Загора,24544.8,,,55277,,,1000,,,80821.8
0131000248 - ОД на МВР - Търговище,,,,814.53,,,,,,814.53
0131000253 - ОД на МВР - Хасково,,,,8635.78,,,5296.71,,,13932.49
0131000269 - ОД на МВР - Шумен,,,,40,,,,,,40
0131000274 - ОД на МВР - Ямбол,,,,10010.95,,,,,,10010.95
0133000000 - Държавна агенция за бежанците,10735.76,1169.96,,74331.12,,,,,,86236.84
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,74594.8,,,106.55,,,,,,74701.35
013700**** - ГД ПБЗН,141789.84,,,1297440.97,,106.68,,,,1439337.49
