12.12.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,,,,,,41596.73,,,,,,,,,,,,,,,,41596.73
013031**** - САД "ПУБ",,,,,25308.25,,,,,,,,,59.7,,,,,,,,,,,,25367.95
013032**** - САД "УССД",,,,,46041.79,,,,,,,,,,,52990.11,,,,,,,,,,99031.9
0130330008 - СД "ОТО",,,,,6984.06,,,,,,,,,,,,,,,,,,,,,6984.06
013036**** - Медицински институт,,,,,8721.6,,,,,,,,,,,,,,,,,,,,,8721.6
013038**** - Дирекция Миграция,11967.96,,,,17489.14,,,,,,,,,,,3108.68,,,,,,,,,,32565.78
013040**** - СДВР,,,,,26367.23,,,,,,,,,,15,197993.97,,,,,,,,,,224376.2
013060**** - ГД "Национална полиция",,,,,6210.22,,,,,,,,,,,,,,,,,,,,,6210.22
013070**** - ГД "Гранична полиция",,,,,500,,,,,,,,,,,1600.88,,,,,,,,,,2100.88
0131000016 - ОД на МВР - Благоевград,,,,,21481.55,,,,,,,,,,,418.93,,,,,,,,-96,,21804.48
0131000021 - ОД на МВР - Бургас,,,,,6501,,,,,3800,,,,,,13676.09,,,,,,,,,,23977.09
0131000037 - ОД на МВР - Варна,,,,,10541.22,,,,,,,,,,,25785.89,,,,,,,,,,36327.11
0131000042 - ОД на МВР - В. Търново,252.7,,,,,,,,,,,,,,,15862.91,,,,,,,,,,16115.61
0131000058 - ОД на МВР - Видин,,,,,7523.29,,,,,,,,,,,,,,,,,,,,,7523.29
0131000063 - ОД на МВР - Враца,,,,,14732.38,,,,,,,,,,,1272.99,,,,,,,,,,16005.37
0131000079 - ОД на МВР - Габрово,,,,,623.76,,,,,,,,,,,2298.04,,,,,,,,,,2921.8
0131000090 - ОД на МВР - Кърджали,,,,,14700,,,,,,,,,,,,,,,,,,,,,14700
0131000103 - ОД на МВР - Кюстендил,,,,,6255.48,,,,,,,,,,,8791.27,,,,,,,,,,15046.75
0131000124 - ОД на МВР - Ловеч,,,,,22552.49,,,,,,,,,,,9411.81,,,,,,,,,,31964.3
0131000130 - ОД на МВР - Пазарджик,,,,,29124.34,,,,,,,,,,,,,,,,,,,,,29124.34
0131000145 - ОД на МВР - Перник,,,,,180,,,,,,,,,,18,10438.3,,,,,,,,,,10636.3
0131000150 - ОД на МВР - Плевен,,,,,12040,,,,,8547.55,,,,,,,,,,,,,,,,20587.55
0131000166 - ОД на МВР - Пловдив,,,,,24861.69,,,,,102103.24,,,,,,33656.34,,,,,,,,,,160621.27
0131000171 - ОД на МВР - Разград,1979.55,,,,9058.3,,,,,,,,,,,5144.56,,,,,,,,,,16182.41
0131000187 - ОД на МВР - Русе,,,,,72.53,,,,,,,,,,42,1076.77,,,,,,,,,,1191.3
0131000192 - ОД на МВР - Силистра,,,,,30,,,,,,,,,,,,,,,,,,,,,30
0131000232 - ОД на МВР - Ст.Загора,,,,,12320,,,,,,,,,,,45156.41,,,,,,,,,,57476.41
0131000248 - ОД на МВР - Търговище,,,,,3000,,,,,,,,,,,,,,,,,,,,,3000
0131000253 - ОД на МВР - Хасково,,,,,670,,,,,,,,,,,16826.35,,,,,,,,,,17496.35
0131000269 - ОД на МВР - Шумен,136.41,,,,4168.02,,,,,510,,,,,,,,,,,,,,,,4814.43
0131000274 - ОД на МВР - Ямбол,,,,,3300,,,,,,,,,,,486.89,,,,,,,,,,3786.89
0133000000 - Държавна агенция за бежанците,,,,,4433.66,,,,,,,,,,,,,,,,,,,,,4433.66
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,2050.37,,,,,,,,,,,,,,,,,,,,,2050.37
013700**** - ГД ПБЗН,,,,,44912.28,,,,,,,,,984052.8,174,136813.76,,,,,,,,,,1165952.84
0138000002 - Дирекция "НС 112",,,,,917.93,,,,,,,,,,,,,,,,,,,,,917.93
0139890003 - Фонд за безопасност на движението,,,,,,,,,,,,,,,,1125,,,,,,,,,,1125
