0130330008 - СД "ОТО",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-06,,,,,10000,,,,,,,,,,,10000,,,,,,,,,,20000
2012-08-07,,,,,220,,,,,,,,,,,,,,,,,,,,,220
2012-08-10,,,,,7470,,,,,,,,,,,,,,,,,,,,,7470
2012-08-13,,,,,,,,,,,,,,,,7736.6,,,,,,,,,,7736.6
2012-08-15,,,7288.25,,24001.74,,,,,,,,,,,5000,,,,,,,,,,36289.99
2012-08-16,,,,,2160,,,,,,,,,,,,,,,,,,,,,2160
2012-08-22,1607348.51,175375.38,77687.56,,,,,,,,,,,,,,,,,,,,,,,1860411.45
2012-08-23,112110.98,,,,988.81,,,,,,,,,,,,,,,,,,,,,113099.79
2012-08-27,,,,,9321.17,,,,,,,,,,,,,,,,,,,,,9321.17
2012-08-30,,,,,2400,,,,,,,,,,,,,,,,,,,,,2400
2012-09-05,,,,,24937.04,,,,,,,,,,,15000,,,,,,,,,,39937.04
2012-09-07,262146.36,,,,10806.93,,,,,,,,,,,,,,,,,,,,,272953.29
2012-09-11,,,,,368,,,,,,,,,,,6.07,,,,,,,,,,374.07
2012-09-12,,,,,,,,,,,,,,,,6290.93,,,,,,,,,,6290.93
2012-09-13,,,,,831.91,,,,,,,,,,,,,,,,,,,,,831.91
2012-09-21,1561436.95,170216.83,80770.8,,7293.97,,,,,,,,,,,,,,,,,,,,,1819718.55
2012-09-24,77648.76,,,,402,,,,,,,,,,,,,,,,,,,,,78050.76
2012-09-25,7000,,,,8820,,,,,,,,,,,,,,,,,,,,,15820
2012-09-27,,,,,9122.74,,,,,,,,,,,,,,,,,,,,,9122.74
2012-10-03,,,,,23673.2,,,,,,,,,,,15000,,,,,,,,,,38673.2
2012-10-11,,,,,5813.27,,,,,,,,,,,,,,,,,,,,,5813.27
2012-10-12,,,,,8757.81,,,,,,,,,,,6495.35,,,,,,,,,,15253.16
2012-10-17,,,,,8130.08,,,,,,,,,,,,,,,,,,,,,8130.08
2012-10-18,,,,,100,,,,,,,,,,,,,,,,,,,,,100
2012-10-19,,,,,61.79,,,,,,,,,,,,,,,,,,,,,61.79
2012-10-23,1580857.23,172305.02,80448.44,,,,,,,,,,,,,,,,,,,,,,,1833610.69
2012-10-24,12840,,,,1385.2,,,,,,,,,,,,,,,,,,,,,14225.2
2012-10-25,,,,,5504.86,,,,,,,,,,,,,,,,,,,,,5504.86
2012-10-30,,,,,33274.75,,,,,,,,,,,,,,,,,,,,,33274.75
2012-11-06,,,,,10000,,,,,,,,,,,10000,,,,,,,,,,20000
2012-11-08,,,,,43.2,,,,,,,,,,,,,,,,,,,,,43.2
2012-11-09,,,,,12983.44,,,,,,,,,,,,,,,,,,,,,12983.44
2012-11-14,,,,,3997.07,,,,,,,,,,,608.57,,,,,,,,,,4605.64
2012-11-15,,,,,120,,,,,,,,,,,,,,,,,,,,,120
