0130350004 - ИСТ,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-06,,,,,179.7,,,,,,,,,,,,,,,,,,,,,179.7
2012-08-09,,,,,904.62,,,,,,,,,,,,,,,,,,,,,904.62
2012-08-10,25460,,,,,,,,,,,,,,,,,,,,,,,,,25460
2012-08-13,,,,,629.22,,,,,,,,,,,,,,,,,,,,,629.22
2012-08-14,,,,,130.02,,,,,,,,,,,,,,,,,,,,,130.02
2012-08-16,,,,,597.78,,,,,,,,,,,,,,,,,,,,,597.78
2012-08-20,,,,,107.71,,,,,,,,,,,,,,,,,,,,,107.71
2012-08-22,,,,,29.44,,,,,,,,,,,,,,,,,,,,,29.44
2012-08-23,83802,14700.98,69617.92,,,,,,,,,,,,,,,,,,,,,,,168120.9
2012-08-24,,,,,9.6,,,,,,,,,,,,,,,,,,,,,9.6
2012-08-29,,,,,985.33,,,,,,,,,,,,,,,,,,,,,985.33
2012-08-30,,,,,3443,,,,,,,,,,,,,,,,,,,,,3443
2012-09-05,,,,,1297.2,,,,,,,,,,,,,,,,,,,,,1297.2
2012-09-07,,,,,162.59,,,,,,,,,,,,,,,,,,,,,162.59
2012-09-10,,,,,372.12,,,,,,,,,,,,,,,,,,,,,372.12
2012-09-12,24560,,500,,214.8,,,,,,,,,,,,,,,,,,,,,25274.8
2012-09-13,,,,,622.03,,,,,,,,,,,,,,,,,,,,,622.03
2012-09-14,,,,,348,,,,,,,,,,,,,,,,,,,,,348
2012-09-17,,,,,769.46,,,,,,,,,,,,,,,,,,,,,769.46
2012-09-19,,,,,1517.76,,,,,,,,,,,,,,,,,,,,,1517.76
2012-09-21,,,,,484.1,,,,,,,,,,,,,,,,,,,,,484.1
2012-09-24,52630,14963.49,70596.67,,,,,,,,,,,,,,,,,,,,,,,138190.16
2012-09-26,,,,15220.15,,,,,,15220.15
2012-09-27,12752,,,,160,,,,,,,,,,,,,,,,,,,,,12912
2012-10-05,,,,,194.65,,,,,,,,,,,,,,,,,,,,,194.65
2012-10-06,,,,,1214.88,,,,,,,,,,,,,,,,,,,,,1214.88
2012-10-08,,,,,92.64,,,,,,,,,,,,,,,,,,,,,92.64
2012-10-10,24660,,,,288,,,,,,,,,,,,,,,,,,,,,24948
2012-10-12,,,,,760,,,,,,,,,,,,,,,,,,,,,760
2012-10-15,,,,,396,,,,,,,,,,,,,,,,,,,,,396
2012-10-16,,,,,684.5,,,,,,,,,,,,,,,,,,,,,684.5
2012-10-19,,,,,1246.58,,,,,,,,,,,,,,,,,,,,,1246.58
2012-10-22,,,,,474.6,,,,,,,,,,,,,,,,,,,,,474.6
