013038**** - Дирекция Миграция,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2013-01-14,,,,,250.25,,,,,,,,,,,3755,,,,,,,,,,4005.25
2013-01-15,,,,,53797.04,,,,,,,,,,,164.19,,,,,,,,,,53961.23
2013-01-18,,,,,21460.57,,,,,,,,,,,,,,,,,,,,,21460.57
2013-01-23,276528.01,,2407.32,,644,,,,,,,,,,,,,,,,,,,,,279579.33
2013-01-25,,,,,19525.53,,,,,,,,,,,16664.96,,,,,,,,,,36190.49
2013-01-30,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2013-01-31,,,,,22652.2,,,,,,,,,,,10515.07,,,,,,,,,,33167.27
2013-02-07,,,,,2376.46,,,,,,,,,,,,,,,,,,,,,2376.46
2013-02-08,21420,,,,174.25,,,,,,,,,,,,,,,,,,,,,21594.25
2013-02-14,,,,,16745.92,,,,,,,,,,,3380.79,,,,,,,,,,20126.71
2013-02-15,,,,,2541.82,,,,,,,,,,,198.3,,,,,,,,,,2740.12
2013-02-21,252075.96,,2641.22,,79684.36,,,,,1440,,,,,,4278.3,,,,,,,,,,340119.84
2013-02-25,,,,,11438.02,,,,,,,,,,,,,,,,,,,,,11438.02
2013-02-26,,,,,2258.67,,,,,,,,,,,1364.69,,,,,,,,,,3623.36
2013-03-06,,,,,3000,,,,,,,,,,,,,,,,,,,,,3000
2013-03-07,,,,,622.07,,,,,,,,,,,,,,,,,,,,,622.07
2013-03-08,21590,,,,,,,,,,,,,,,,,,,,,,,,,21590
2013-03-14,,,,,320,,,,,,,,,,,3558.6,,,,,,,,,,3878.6
2013-03-20,,,,,59449.73,,,,,,,,,,,4433.03,,,,,,,,,,63882.76
2013-03-21,268684.69,,2645.14,,,,,,,,,,,,,,,,,,,,,,,271329.83
2013-03-22,,,,,3284.34,,,,,,,,,,,,,,,,,,,,,3284.34
2013-03-28,161,,,,56875.21,,,,,,,,,,,6427.57,,,,,,,,,,63463.78
2013-04-02,,,,,720,,,,,,,,,,,,,,,,,,,,,720
2013-04-05,,,,,5702.1,,,,,,,,,,,,,,,,,,,,,5702.1
2013-04-09,21370,,,,,,,,,,,,,,,,,,,,,,,,,21370
2013-04-10,64633.32,,,,,,,,,,,,,,,,,,,,,,,,,64633.32
2013-04-12,1600,,,,20588.76,,,,,,,,,,,3925.32,,,,,,,,,,26114.08
2013-04-15,,,,,30000,,,,,,,,,,,,,,,,,,,,,30000
2013-04-16,,,,,82713.79,,,,,,,,,,,9216.16,,,,,,,,,,91929.95
2013-04-19,,,,,5159.88,,,,,,,,,,,,,,,,,,,,,5159.88
2013-04-22,,,,,16981.67,,,,,,,,,,,6585.78,,,,,,,,,,23567.45
2013-04-23,267870.62,,2487.93,,1200,,,,,,,,,,,,,,,,,,,,,271558.55
2013-04-25,,,,,5803,,,,,,,,,,,,,,,,,,,,,5803
2013-04-26,,,,,726.93,,,,,,,,,,,,,,,,,,,,,726.93
2013-04-30,,,,,14594.74,,,,,,,,,,,,,,,,,,,,,14594.74
2013-05-06,,,,,10619.68,,,,,,,,,,,,,,,,,,,,,10619.68
