0131000016 - ОД на МВР - Благоевград,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-06,,,,,,,,,,,,,,,,300,,,,,,,,,,300
2012-08-08,,,,,,,,,,,,,,,1200,,,,,,,,,,,1200
2012-08-10,4430,,,,,,,,,,,,,,,,,,,,,,,,,4430
2012-08-13,,,,,,,,,,,,,,,,24131.87,,,,,,,,,,24131.87
2012-08-15,,,,,1126.12,,,,,,,,,,,,,,,,,,,,,1126.12
2012-08-22,,,,,692,,,,,,,,,,,,,,,,,,,,,692
2012-08-24,781920.02,81615.62,65107.54,,,,,,,,,,,,,,,,,,,,,,,928643.18
2012-08-29,14522.54,1131.27,,,13828.98,,,,,,,,,,,,,,,,,,,,,29482.79
2012-08-30,,,,,27691.8,,,,,,,,,,,4095.33,,,,,,,,,,31787.13
2012-09-12,4430,,,,,,,,,,,,,,,737.84,,,,,,,,,,5167.84
2012-09-14,,,,,,,,,,,,,,,,16956.35,,,,,,,,,,16956.35
2012-09-17,,,,,790.68,,,,,,,,,,,,,,,,,,,,,790.68
2012-09-25,745527.37,82332.13,65018.28,,,,,,,,,,,,,,,,,,,,,,,892877.78
2012-09-26,11959.95,969.77,,46570,,,,,,59499.72
2012-09-28,,,,,63427.59,,,,,,,,,,,7715.51,,,,,,,,-150,,70993.1
2012-09-29,16909.88,1371.36,,,4132,,,,,,,,,,,,,,,,,,,,,22413.24
2012-10-03,,,,,80,,,,,,,,,,,,,,,,,,,,,80
2012-10-10,4430,,,,1966,,,,,,,,,,,,,,,,,,,,,6396
2012-10-12,,,,,,,,,,,,,,,,7757.96,,,,,,,,,,7757.96
2012-10-15,,,,,1006.32,,,,,,,,,,,,,,,,,,,,,1006.32
2012-10-18,,,,,20,,,,,,,,,,,,,,,,,,,,,20
2012-10-24,798457,87983.67,64793.97,,,,,,,,,,,,,,,,,,,,,,,951234.64
2012-10-30,,,,,,,,,,,,,,,4000,7898.07,,,,,,,,,,11898.07
2012-10-31,,,,,18416.88,,,,,,,,,,,680,,,,,,,,,,19096.88
2012-11-12,4650,,,,,,,,,,,,,,,,,,,,,,,,,4650
2012-11-13,,,,,,,,,,,,,,,,29483.12,,,,,,,,,,29483.12
2012-11-15,,,,,790.68,,,,,,,,,,,,,,,,,,,,,790.68
2012-11-23,736207.19,81724.78,64940.14,,,,,,,,,,,,,,,,,,,,,,,882872.11
2012-11-27,7051,,,,,,,,,,,,,,,,,,,,,,,,,7051
2012-11-29,,,,,19138.4,,,,,,,,,,,10862.09,,,,,,,,,,30000.49
2012-12-11,,,,,-90,,,,,,,,,,,,,,,,,,,150,,60
2012-12-12,,,,,,,,,,,,,,,,12262.63,,,,,,,,,,12262.63
2012-12-14,58545.32,4738.23,,,40723.83,,,,,,,,,,,,,,,,,,,,,104007.38
2012-12-15,,,,,9206.17,,,,,,,,,,,284.9,,,,,,,,-124.88,,9366.19
2012-12-17,94,,,,817.12,,,,,,,,,,,,,,,,,,,,,911.12
2012-12-18,887339.84,97563.03,64039.19,,,,,,,,,,,,,,,,,,,,,,,1048942.06
2012-12-20,,,,,16697.18,,,,,,,,,,,3589.44,,,,,,,,,,20286.62
2013-01-09,5600,,,,,,,,,,,,,,,,,,,,,,,,,5600
2013-01-14,,,,,1629.7,,,,,,,,,,,14499.29,,,,,,,,,,16128.99
2013-01-18,,,,,455.24,,,,,,,,,,,,,,,,,,,,,455.24
2013-01-23,,,,,,,,,,,,,,,,3138.02,,,,,,,,,,3138.02
