0131000021 - ОД на МВР - Бургас,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-03,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
2012-08-06,,,,,40,,,,,,,,,,,,,,,,,,,,,40
2012-08-07,,,,,5038,,,,,,,,,,,,,,,,,,,,,5038
2012-08-08,,356.3,,,3615.09,,,,,,,,,,,,,,,,,,,,,3971.39
2012-08-09,,,,,348,,,,,,,,,,,,,,,,,,,,,348
2012-08-10,67630,,,,,,,,,,,,,,,,,,,,,,,,,67630
2012-08-13,,,,,7523.84,,,,,,,,,,906,49583.12,,,,,,,,,,58012.96
2012-08-14,,,,,2103.12,,,,,,,,,,,5000,,,,,,,,,,7103.12
2012-08-16,,,,,5000,,,,,,,,,,,425.85,,,,,,,,,,5425.85
2012-08-17,,,,,5003.72,,,,,,,,,,,,,,,,,,,,,5003.72
2012-08-20,,,,,8830.94,,,,,14302.1,,,,,,200,,,,,,,,,,23333.04
2012-08-21,,,,,200,,,,,,,,,,,,,,,,,,,,,200
2012-08-23,1528618.83,166595.19,27188.3,,24652.44,,,,,,,,,,,,,,,,,,,,,1747054.76
2012-08-24,103345.78,,,,120,,,,,,,,,,,,,,,,,,,,,103465.78
2012-08-27,,,,,799.26,,,,,,,,,,,4574.06,,,,,,,,,,5373.32
2012-08-29,,,,,41522.92,,,,,,,,,,,,,,,,,,,,,41522.92
2012-08-30,,,,,22212.04,,,,,485697.9,,,,,,160,,,,,,,,,,508069.94
2012-08-31,7711.2,,,,,,,,,,,,,,,,,,,,,,,,,7711.2
2012-09-05,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
2012-09-07,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
2012-09-10,,,,,,,,,,16845.72,,,,,,,,,,,,,,,,16845.72
2012-09-11,,19.6,,,1533.18,,,,,,,,,,,,,,,,,,,,,1552.78
2012-09-12,68340,,,,6756.27,,,,,,,,,,,500,,,,,,,,,,75596.27
2012-09-13,,,,,,,,,,,,,,,,27401.26,,,,,,,,,,27401.26
2012-09-14,,,,,5343,,,,,,,,,,,6500.74,,,,,,,,,,11843.74
2012-09-18,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-09-21,,,,,4000,,,,,,,,,,1370,,,,,,,,,,,5370
2012-09-24,1521604.34,164970.27,29047.53,,724.27,,,,,,,,,,,,,,,,,,,,,1716346.41
2012-09-25,,,,,66132.28,,,,,,,,,,,,,,,,,,,,,66132.28
2012-09-26,,,,36903.5,,,,,,36903.5
2012-09-27,,,,,12997.76,,,,,139035.28,,,,,,,,,,,,,,,,152033.04
2012-10-03,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
2012-10-05,,,,,248.4,,,,,,,,,,,,,,,,,,,,,248.4
2012-10-08,,,,,5265.35,,,,,,,,,,,,,,,,,,,,,5265.35
2012-10-09,,,,,6587.77,,,,,,,,,,,,,,,,,,,,,6587.77
2012-10-10,68370,,,,,,,,,,,,,,,,,,,,,,,,,68370
2012-10-11,,,,,,,,,,,,,,,,5000,,,,,,,,,,5000
2012-10-12,,,,,,,,,,,,,,,,401.95,,,,,,,,,,401.95
2012-10-15,,,,,650,,,,,,,,,,,42239.42,,,,,,,,,,42889.42
2012-10-16,,,,,337.8,,,,,,,,,,1796.17,,,,,,,,,,,2133.97
2012-10-17,,,,,,,,,,3960,,,,,,,,,,,,,,,,3960
2012-10-18,,,,,52.9,,,,,,,,,,,,,,,,,,,,,52.9
2012-10-19,8826.61,,,,465,,,,,,,,,,1030,,,,,,,,,,,10321.61
2012-10-22,,,,,,,,,,190,,,,,,,,,,,,,,,,190
2012-10-23,1523400.48,166756.84,32380.84,,,,,,,,,,,,,,,,,,,,,,,1722538.16
2012-10-24,,,,,629.31,,,,,,,,,,,1598.46,,,,,,,,,,2227.77
2012-10-25,5828.2,,,,969,,,,,,,,,,,,,,,,,,,,,6797.2
2012-10-26,,,,,7631.77,,,,,12050,,,,,,,,,,,,,,,,19681.77
2012-10-29,11122.8,,,,13228.93,,,,,,,,,,,,,,,,,,,,,24351.73
2012-11-05,,,,,7399,,,,,409997.18,,,,,,5000,,,,,,,,,,422396.18
2012-11-07,,,,,100,,,,,948,,,,,,,,,,,,,,,,1048
2012-11-08,,13.6,,,3274.23,,,,,,,,,,,,,,,,,,,,,3287.83
2012-11-09,67230,,,,,,,,,,,,,,,,,,,,,,,,,67230
2012-11-12,,,,,948,,,,,,,,,,,,,,,,,,,,,948
2012-11-13,21652.44,,400,,,,,,,,,,,,662,36262.21,,,,,,,,,,58976.65
2012-11-14,38.26,,,,2000,,,,,,,,,,,466.6,,,,,,,,,,2504.86
2012-11-16,,,,,,,,,,,,,,,,6533.19,,,,,,,,,,6533.19
2012-11-19,,,,,91887.31,,,,,10717.41,,,,,,,,,,,,,,,,102604.72
2012-11-20,,,,,,,,,,2844.7,,,,,,,,,,,,,,,,2844.7
2012-11-21,1514241.23,164909.01,30393.29,,,,,,,,,,,,,,,,,,,,,,,1709543.53
2012-11-22,,149.11,,,3240.32,,,,,,,,,,,,,,,,,,,,,3389.43
2012-11-23,,,588.58,,13.32,,,,,,,,,,,,,,,,,,,,,601.9
2012-11-26,52407,,,,,,,,,,,,,,,,,,,,,,,,,52407
2012-11-27,,,,,9802.36,,,,,,,,,,,,,,,,,,,,,9802.36
2012-11-28,,,,,6254.02,,,,,,,,,,,,,,,,,,,,,6254.02
2012-11-29,,,,,120.92,,,,,2992.71,,,,,,,,,,,,,,,,3113.63
2012-12-11,,,,,21925.48,,,,,,,,,,,,,,,,,,,,,21925.48
2012-12-12,,,,,,,,,,,,,,,,34414.8,,,,,,,,-1500000,,-1465585.2
2012-12-13,13410.42,,,,74292,,,,,30972.51,,,,,,414.7,,,,,,,,,,119089.63
2012-12-14,30264.2,,,,52143.5,,,,,,,,,,394,6586,,,,,,,,,,89387.7
2012-12-15,1892861.31,198201.23,28275.55,,1338.75,,,,,77900.4,,,,,60,,,,,,,,,,,2198637.24
2012-12-17,1236.73,,,,4522.47,,,,,,,,,,,,,,,,,,,,,5759.2
2012-12-18,6688.61,,,,5620.02,,,,,,,,,,,,,,,,,,,,,12308.63
2012-12-19,2491.95,,,,7070.35,,,,,,,,,,,,,,,,,,,,,9562.3
2012-12-20,,942.03,,,435.9,,,,,713.9,,,,,,,,,,,,,,,,2091.83
2012-12-21,,,,,800,,,,,233469.19,,,,,,,,,,,,,,,,234269.19
2013-01-07,,,,,5240,,,,,,,,,,,5000,,,,,,,,,,10240
2013-01-09,67512,,,,19671.81,,,,,,,,,,,,,,,,,,,,,87183.81
2013-01-11,,,,,2353.01,,,,,,,,,,,,,,,,,,,,,2353.01
2013-01-14,,,,,,,,,,,,,,,333,20345.52,,,,,,,,,,20678.52
2013-01-17,,,,,10787.08,,,,,,,,,,,7013.15,,,,,,,,,,17800.23
2013-01-22,,,,,5020,,,,,,,,,,,,,,,,,,,,,5020
2013-01-23,1638320.29,,27602.62,,,,,,,,,,,,,,,,,,,,,,,1665922.91
2013-01-24,,,,,463.76,,,,,,,,,,,,,,,,,,,,,463.76
2013-01-25,31484.94,,,,7778.71,,,,,,,,,,,,,,,,,,,,,39263.65
2013-01-28,,,,,175,,,,,,,,,,,,,,,,,,,,,175
2013-01-29,,,,,6824,,,,,,,,,,,,,,,,,,,,,6824
2013-01-30,,,,,4062.11,,,,,,,,,,,,,,,,,,,,,4062.11
2013-01-31,261,,,,,,,,,,,,,,,,,,,,,,,,,261
2013-02-05,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
2013-02-06,,,,,1393.8,,,,,,,,,,,,,,,,,,,,,1393.8
2013-02-07,,,,,17920.93,,,,,,,,,,,,,,,,,,,,,17920.93
2013-02-08,68750,,,,40.5,,,,,,,,,,,,,,,,,,,,,68790.5
2013-02-11,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000
2013-02-12,,,,,2372,,,,,,,,,,,,,,,,,,,,,2372
