0131000119 - ОД на МВР - Монтана,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-02,,,,,1393.82,,,,,,,,,,,,,,,,,,,,,1393.82
2012-08-03,,,,,790.02,,,,,,,,,,,,,,,,,,,,,790.02
2012-08-06,,,,,,,,,,4865,,,,,,,,,,,,,,,,4865
2012-08-09,,,,,668.03,,,,,,,,,,,,,,,,,,,,,668.03
2012-08-10,33230,,,,25792.86,,,,,,,,,,,,,,,,,,,,,59022.86
2012-08-13,,,,,1308,,,,,,,,,,,7689.74,,,,,,,,,,8997.74
2012-08-14,1602.5,31.5,,,4461.86,,,,,,,,,,,,,,,,,,,,,6095.86
2012-08-20,,,,,168,,,,,,,,,,,,,,,,,,,,,168
2012-08-23,468177.07,53080.83,40147.29,,,,,,,,,,,,,,,,,,,,,,,561405.19
2012-08-24,4063.25,158.55,,,17932.6,,,,,,,,,,,,,,,,,,,,,22154.4
2012-08-29,,,,,7176.68,,,,,,,,,,,,,,,,,,,,,7176.68
2012-08-30,,,,,1362.4,,,,,,,,,,,,,,,,,,,,,1362.4
2012-09-05,,,,,2143.73,,,,,8412.71,,,,,,,,,,,,,,,,10556.44
2012-09-07,,,,,19940.89,,,,,,,,,,,,,,,,,,,,,19940.89
2012-09-10,,,,,605.86,,,,,,,,,,,,,,,,,,,,,605.86
2012-09-11,,,,,,,,,,,,,,,,458.53,,,,,,,,,,458.53
2012-09-12,32380,,,,,,,,,,,,,,,,,,,,,,,,,32380
2012-09-13,,,,,,,,,,11835.29,,,,,,7557.95,,,,,,,,,,19393.24
2012-09-14,200,,,,2109,,,,,,,,,,,250.95,,,,,,,,,,2559.95
2012-09-19,,,,,29.99,,,,,,,,,,,67.5,,,,,,,,,,97.49
2012-09-21,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-09-24,457362.56,53584.28,39686.36,,10791.51,,,,,,,,,,,364.03,,,,,,,,,,561788.74
2012-09-25,1427.25,42.75,,,36901.28,,,,,15246.34,,,,,,,,,,,,,,,,53617.62
2012-09-26,,,,3320.08,,,,,,3320.08
2012-09-27,,,,,375.12,,,,,,,,,,,1499.77,,,,,,,,,,1874.89
2012-09-28,,,,,1988.02,,,,,,,,,,,687.14,,,,,,,,,,2675.16
2012-10-03,,,,,1361.35,,,,,,,,,,,,,,,,,,,,,1361.35
2012-10-05,,,,,735.44,,,,,,,,,,,,,,,,,,,,,735.44
2012-10-10,32880,,100,,8858.85,,,,,,,,,,,400.18,,,,,,,,,,42239.03
2012-10-11,,,,,,,,,,,,,,,,924.23,,,,,,,,,,924.23
2012-10-12,,,,,,,,,,,,,,,,15282.98,,,,,,,,,,15282.98
2012-10-15,,,,,4164.66,,,,,,,,,,,,,,,,,,,,,4164.66
2012-10-18,,,,,,,,,,,,,,,,1034.45,,,,,,,,,,1034.45
2012-10-19,,,,,,,,,,,,,,,,100,,,,,,,,,,100
2012-10-22,,,,,,,,,,,,,,,,49,,,,,,,,,,49
2012-10-24,499232.52,55914.67,40165.36,,1973.67,,,,,,,,,,,,,,,,,,,,,597286.22
2012-10-25,,,,,6232.8,,,,,5062.62,,,,,,,,,,,,,,,,11295.42
2012-10-26,1736.25,3.75,,,20728.29,,,,,,,,,,,1035.04,,,,,,,,,,23503.33
2012-10-29,,,,,634.66,,,,,,,,,,,,,,,,,,,,,634.66
2012-10-30,,,,,622.2,,,,,,,,,,,788.08,,,,,,,,,,1410.28
2012-10-31,,,,,1637.75,,,,,,,,,,,167.2,,,,,,,,,,1804.95
2012-11-05,,,,,1902.52,,,,,,,,,,,,,,,,,,,,,1902.52
2012-11-06,,,,,9613.42,,,,,,,,,,,,,,,,,,,,,9613.42
2012-11-07,,,,,72,,,,,,,,,,,,,,,,,,,,,72
2012-11-08,,,,,5694.39,,,,,,,,,,,19.36,,,,,,,,,,5713.75
2012-11-09,32830,,100,,630.96,,,,,,,,,,,,,,,,,,,,,33560.96
2012-11-12,,,,,330,,,,,,,,,,,,,,,,,,,,,330
2012-11-13,,,,,14709.11,,,,,,,,,,,7635.64,,,,,,,,,,22344.75
2012-11-14,706,54,,,7969.82,,,,,,,,,,,1881.38,,,,,,,,,,10611.2
2012-11-15,,,,,2100,,,,,,,,,,,,,,,,,,,,,2100
2012-11-22,451296.21,52615.17,38838.36,,,,,,,,,,,,,250.2,,,,,,,,,,542999.94
2012-11-23,,,,,5604.98,,,,,,,,,,,,,,,,,,,,,5604.98
2012-11-26,,,,,2615.78,,,,,,,,,,,1269.67,,,,,,,,,,3885.45
2012-11-27,,,,,,,,,,,,,,,,354.98,,,,,,,,,,354.98
2012-11-29,1200,,,,164.78,,,,,,,,,,,710.27,,,,,,,,,,2075.05
2012-12-10,35774,,,,651.69,,,,,,,,,,,,,,,,,,,,,36425.69
2012-12-11,,,,,750.52,,,,,,,,,,,,,,,,,,,,,750.52
2012-12-12,,,,,31362.13,,,,,,,,,,,12941.68,,,,,,,,,,44303.81
2012-12-13,1018.51,61.49,,,7791.07,,,,,,,,,,,,,,,,,,,,,8871.07
2012-12-14,,,,,319,,,,,,,,,,,2406.54,,,,,,,,,,2725.54
2012-12-15,,,,,17857.89,,,,,,,,,,,,,,,,,,,,,17857.89
2012-12-17,586162.39,64205.64,39563.36,,1825.52,,,,,,,,,,,,,,,,,,,,,691756.91
2012-12-18,1094.46,88.74,,,1441.23,,,,,,,,,,,723.47,,,,,,,,,,3347.9
2012-12-19,,,,,1645.61,,,,,,,,,,,1368.29,,,,,,,,,,3013.9
2012-12-20,,,,,4004.88,,,,,,,,,,,,,,,,,,,,,4004.88
2013-01-07,,,,,1647.07,,,,,,,,,,,,,,,,,,,,,1647.07
2013-01-08,,,,,7457.81,,,,,,,,,,,,,,,,,,,,,7457.81
2013-01-09,,,,,18300.95,,,,,,,,,,,,,,,,,,,,,18300.95
2013-01-10,32830,,,,,,,,,,,,,,,,,,,,,,,,,32830
2013-01-11,,,,,662.78,,,,,,,,,,,261.02,,,,,,,,,,923.8
2013-01-14,,,,,,,,,,,,,,,,11623.76,,,,,,,,,,11623.76
2013-01-22,,,,,645.5,,,,,,,,,,,528.18,,,,,,,,,,1173.68
2013-01-23,,,,,3888.4,,,,,,,,,,,2230,,,,,,,,,,6118.4
2013-01-24,559321.51,,40952.26,,43556.37,,,,,,,,,,,40,,,,,,,,,,643870.14
2013-01-25,,,,,9406.69,,,,,,,,,,,465.97,,,,,,,,,,9872.66
2013-01-28,,,,,2280.22,,,,,,,,,,,910.66,,,,,,,,,,3190.88
2013-01-29,,,,,5340.87,,,,,,,,,,,,,,,,,,,,,5340.87
2013-01-30,,,,,1692.62,,,,,,,,,,,769.36,,,,,,,,,,2461.98
2013-02-06,,,,,15558.44,,,,,,,,,,,,,,,,,,,,,15558.44
2013-02-07,,,,,19911.88,,,,,,,,,,,,,,,,,,,,,19911.88
2013-02-08,,,,,214.55,,,,,,,,,,,,,,,,,,,,,214.55
2013-02-11,32860,,,,60,,,,,,,,,,,,,,,,,,,,,32920
2013-02-13,800,,,,9938.44,,,,,,,,,,,7960.36,,,,,,,,,,18698.8
2013-02-18,,,,,,,,,,,,,,,,901.23,,,,,,,,,,901.23
2013-02-20,,,,,123.52,,,,,,,,,,,516.71,,,,,,,,,,640.23
2013-02-21,,,,,500,,,,,,,,,,,,,,,,,,,,,500
2013-02-25,557643.19,,40442.59,,36364.74,,,,,,,,,,,,,,,,,,,,,634450.52
2013-02-26,,,,,3825.77,,,,,,,,,,,2378.37,,,,,,,,,,6204.14
2013-02-27,,,,,223.81,,,,,,,,,,,180.4,,,,,,,,,,404.21
2013-03-05,,,,,2160.51,,,,,,,,,,,82.08,,,,,,,,,,2242.59
2013-03-06,,,,,15172.62,,,,,,,,,,,,,,,,,,,,,15172.62
2013-03-07,,,,,2108.81,,,,,,,,,,,,,,,,,,,,,2108.81
2013-03-11,32860,,,,2574.66,,,,,,,,,,,,,,,,,,,,,35434.66
2013-03-12,,,,,3587.04,,,,,,,,,,,738.48,,,,,,,,,,4325.52
2013-03-13,,,,,,,,,,,,,,,,6315.18,,,,,,,,,,6315.18
2013-03-14,,,,,2545.34,,,,,,,,,,,,,,,,,,,,,2545.34
2013-03-15,,,,,16311.71,,,,,,,,,,,840.13,,,,,,,,,,17151.84
2013-03-21,,,,,500,,,,,,,,,,,,,,,,,,,,,500
2013-03-25,484528.51,,39796.93,,,,,,,,,,,,,600.27,,,,,,,,,,524925.71
2013-03-26,,,,,70.76,,,,,,,,,,,1497.46,,,,,,,,,,1568.22
2013-03-28,,,,,3277.72,,,,,,,,,,,245.79,,,,,,,,,,3523.51
2013-04-03,,,,,1569.26,,,,,,,,,,,,,,,,,,,,,1569.26
2013-04-04,,,,,6613.02,,,,,,,,,,,,,,,,,,,,,6613.02
2013-04-08,,,,,3227,,,,,,,,,,,,,,,,,,,,,3227
2013-04-09,115180,,,,480.33,,,,,,,,,,,,,,,,,,,,,115660.33
2013-04-10,42860,,,,,,,,,,,,,,,,,,,,,,,,,42860
