0131000206 - ОД на МВР - Сливен,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-08,,,,,97.9,,,,,,,,,,,,,,,,,,,,,97.9
2012-08-10,63555,,,,,,,,,,,,,,,,,,,,,,,,,63555
2012-08-13,,,,,603.06,,,,,,,,,,,9210.51,,,,,,,,,,9813.57
2012-08-15,,,,,2000,,,,,,,,,,,340.61,,,,,,,,,,2340.61
2012-08-16,,,,,863.88,,,,,,,,,,,,,,,,,,,,,863.88
2012-08-17,,,,,,,,,,,,,,,,689.11,,,,,,,,,,689.11
2012-08-21,,,,,,,,,,,,,,,,1224.27,,,,,,,,,,1224.27
2012-08-22,496728.68,60504.7,27535.24,,,,,,,,,,,,,,,,,,,,,,,584768.62
2012-08-23,17416,,,,,,,,,,,,,,,355.9,,,,,,,,,,17771.9
2012-08-24,,,,,38302.5,,,,,,,,,,,,,,,,,,,,,38302.5
2012-08-27,,,,,17919.57,,,,,,,,,,,,,,,,,,,,,17919.57
2012-08-29,,,,,650,,,,,,,,,,,283.14,,,,,,,,,,933.14
2012-08-31,,,,,7659.95,,,,,,,,,,,,,,,,,,,,,7659.95
2012-09-07,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-09-10,,,,,2000,,,,,,,,,,,1109.09,,,,,,,,,,3109.09
2012-09-12,64105,,,,,,,,,,,,,,,,,,,,,,,,,64105
2012-09-13,,,,,578.91,,,,,,,,,,,7815.83,,,,,,,,,,8394.74
2012-09-25,504747.64,60771.63,27011.97,,,,,,,,,,,,,,,,,,,,,,,592531.24
2012-09-26,,,,,,,1118.68,,,1118.68
2012-09-27,,,,,21843.6,,,,,,,,,,,2668.69,,,,,,,,,,24512.29
2012-09-28,,,,,6532.68,,,,,,,,,,,,,,,,,,,,,6532.68
2012-09-29,,,,,1161.89,,,,,,,,,,,,,,,,,,,,,1161.89
2012-10-03,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-10-06,,,,,4789.16,,,,,,,,,,,,,,,,,,,,,4789.16
2012-10-10,63520,,,,,,,,,,,,,,,,,,,,,,,,,63520
2012-10-12,,,,,525.65,,,,,,,,,,,12215.24,,,,,,,,,,12740.89
2012-10-23,,,,,10581.78,,,,,,,,,,,,,,,,,,,,,10581.78
2012-10-24,538023.68,64649.06,26477.72,,,,,,,,,,,,,,,,,,,,,,,629150.46
2012-10-25,36322,,,,1308.2,,,,,,,,,,,,,,,,,,,,,37630.2
2012-10-30,,,,,928.76,,,,,,,,,,,5183.2,,,,,,,,,,6111.96
2012-10-31,,,,,11964.03,,,,,,,,,,,,,,,,,,,,,11964.03
2012-11-06,,,,,2117.88,,,,,,,,,,,,,,,,,,,,,2117.88
2012-11-08,,,,,12170.46,,,,,,,,,,,,,,,,,,,,,12170.46
2012-11-09,66190,,,,,,,,,,,,,,,,,,,,,,,,,66190
2012-11-13,,,,,559,,,,,,,,,,,11475.78,,,,,,,,,,12034.78
2012-11-15,,,,,3.17,,,,,,,,,,,,,,,,,,,,,3.17
