0134000004 - САД "КИС",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-03,4000,,,,,,,,,,,,,,,,,,,,,,,,,4000
2012-08-10,26650,,,,,,,,,,,,,,,,,,,,,,,,,26650
2012-08-14,,,,,365639.66,,,,,,,,,,,,,,,,,,,,,365639.66
2012-08-17,,,,,1919.1,,,,,,,,,,,,,,,,,,,,,1919.1
2012-08-22,258895.15,30123.08,6827.28,,3810.9,,,,,,,,,,,,,,,,,,,,,299656.41
2012-08-23,,,215,,,,,,,,,,,,,,,,,,,,,,,215
2012-08-28,,,,,271732.14,,,,,,,,,,,,,,,,,,,,,271732.14
2012-08-31,4059.66,,,,237.03,,,,,,,,,,,,,,,,,,,,,4296.69
2012-09-10,,,,,7959.97,,,,,,,,,,,,,,,,,,,,,7959.97
2012-09-12,23840,,,,348,,,,,,,,,,,,,,,,,,,,,24188
2012-09-13,,,,,124863.51,,,,,,,,,,,,,,,,,,,,,124863.51
2012-09-17,1300,,,,29410.77,,,,,,,,,,,,,,,,,,,,,30710.77
2012-09-19,,,,,4825.14,,,,,,,,,,,,,,,,,,,,,4825.14
2012-09-24,261510.69,30429.51,7220.07,,34139.96,,,,,,,,,,,,,,,,,,,,,333300.23
2012-09-25,,,,,957588.09,,,,,,,,,,,,,,,,,,,,,957588.09
2012-09-27,,,,,3007.29,,,,,,,,,,,,,,,,,,,,,3007.29
2012-10-05,,,,,156933.66,,,,,,,,,,,,,,,,,,,,,156933.66
2012-10-06,,,,,1044,,,,,,,,,,,,,,,,,,,,,1044
2012-10-10,25400,,,,910.98,,,,,,,,,,,,,,,,,,,,,26310.98
2012-10-11,,,,,27306.32,,,,,,,,,,,,,,,,,,,,,27306.32
2012-10-12,4737.6,,,,,,,,,,,,,,,,,,,,,,,,,4737.6
2012-10-15,,,,,1962.58,,,,,,,,,,,,,,,,,,,,,1962.58
2012-10-17,,,,,706.56,,,,,,,,,,,,,,,,,,,,,706.56
2012-10-22,265406.4,31135.92,7250.07,,,,,,,,,,,,,,,,,,,,,,,303792.39
2012-10-23,,473.76,,,17892,,,,,,,,,,,,,,,,,,,,,18365.76
2012-10-29,72.15,,,,13677,,,,,,,,,,,,,,,,,,,,,13749.15
2012-11-05,,,,,212288.69,,,,,,,,,,,,,,,,,,,,,212288.69
2012-11-07,2000,,,,264,,,,,,,,,,,,,,,,,,,,,2264
2012-11-09,25960,,,,33227.58,,,,,,,,,,,,,,,,,,,,,59187.58
