0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-06,,,,,845.25,,,,,,,,,,,,,,,,,,,,,845.25
2012-08-08,,,,,3431.59,,,,,,,,,,,,,,,,,,,,,3431.59
2012-08-10,23580,,,,,,,,,,,,,,,,,,,,,,,,,23580
2012-08-15,,,,,2.9,,,,,,,,,,,,,,,,,,,,,2.9
2012-08-16,,,,,1673.77,,,,,,,,,,,,,,,,,,,,,1673.77
2012-08-17,,,,,546.36,,,,,,,,,,,,,,,,,,,,,546.36
2012-08-20,,,,,65.54,,,,,,,,,,,,,,,,,,,,,65.54
2012-08-23,118184.39,14638.33,4407.99,,290,,,,,,,,,,,,,,,,,,,,,137520.71
2012-08-24,,,,,744,,,,,,,,,,,,,,,,,,,,,744
2012-08-29,,,,,3744.9,,,,,,,,,,,,,,,,,,,,,3744.9
2012-08-30,,,,,780.92,,,,,1340.53,,,,,,,,,,,,,,,,2121.45
2012-09-05,,,,,478.08,,,,,,,,,,,,,,,,,,,,,478.08
2012-09-07,,,,,3593.51,,,,,,,,,,,,,,,,,,,,,3593.51
2012-09-12,23910,,,,2130.67,,,,,,,,,,,,,,,,,,,,,26040.67
2012-09-13,,,,,898.87,,,,,,,,,,,,,,,,,,,,,898.87
2012-09-17,,,,,664.49,,,,,,,,,,,,,,,,,,,,,664.49
2012-09-21,120727.43,14869.15,4397.99,,1083.29,,,,,,,,,,,,,,,,,,,,,141077.86
2012-09-24,,,,,4136.83,,,,,,,,,,,,,,,,,,,,,4136.83
2012-09-26,74594.8,,,106.55,,,,,,74701.35
2012-09-27,,,,,,,,,,3997.2,,,,,,,,,,,,,,,,3997.2
2012-09-28,,,,,3182.05,,,,,,,,,,,,,,,,,,,,,3182.05
2012-10-05,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-10-06,,,,,672.46,,,,,,,,,,,,,,,,,,,,,672.46
2012-10-10,23660,,,,5395.63,,,,,2540.73,,,,,,,,,,,,,,,,31596.36
2012-10-12,,,,,4019.93,,,,,,,,,,,,,,,,,,,,,4019.93
2012-10-17,,,,,70.56,,,,,,,,,,,,,,,,,,,,,70.56
2012-10-23,117541.43,14572.67,4337.99,,1330.67,,,,,,,,,,,,,,,,,,,,,137782.76
2012-10-24,,,,,1323.31,,,,,,,,,,,,,,,,,,,,,1323.31
2012-10-25,,,,,5306.16,,,,,,,,,,,,,,,,,,,,,5306.16
2012-10-29,,,,,1038.29,,,,,,,,,,,,,,,,,,,,,1038.29
2012-10-31,,,,,2698.61,,,,,8056.73,,,,,,,,,,,,,,,,10755.34
2012-11-05,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-11-08,22510,,,,3736.09,,,,,,,,,,,,,,,,,,,,,26246.09
2012-11-13,,,,,14939.24,,,,,,,,,,,,,,,,,,,,,14939.24
2012-11-15,,,,,1004.14,,,,,,,,,,,,,,,,,,,,,1004.14
2012-11-20,120225.03,14680.38,4377.99,,441.9,,,,,,,,,,,,,,,,,,,,,139725.3
2012-11-23,,,,,51.58,,,,,,,,,,,,,,,,,,,,,51.58
2012-11-27,13534.3,,,,14542.68,,,,,,,,,,,,,,,,,,,,,28076.98
2012-11-28,,,,,360,,,,,,,,,,,,,,,,,,,,,360
2012-11-29,,,,,2931.41,,,,,,,,,,,,,,,,,,,,,2931.41
2012-11-30,,,,,875,,,,,,,,,,,,,,,,,,,,,875
2012-12-12,,,,,3699.57,,,,,,,,,,,,,,,,,,,,,3699.57
2012-12-13,,,,,2276.12,,,,,,,,,,,,,,,,,,,,,2276.12
2012-12-14,,,,,195.45,,,,,22591.21,,,,,,,,,,,,,,,,22786.66
2012-12-15,170326.59,17713.75,4287.99,,,,,,,,,,,,,,,,,,,,,,,192328.33
2012-12-17,,,,,10481.36,,,,,,,,,,,,,,,,,,,,,10481.36
2012-12-18,,,,,5240.02,,,,,,,,,,,,,,,,,,,,,5240.02
2012-12-19,,,,,676.09,,,,,,,,,,,,,,,,,,,,,676.09
2012-12-21,,,,,944.74,,,,,,,,,,,,,,,,,,,,,944.74
2013-01-07,,,,,4294.89,,,,,,,,,,,,,,,,,,,,,4294.89
2013-01-08,22210,,,,,,,,,,,,,,,,,,,,,,,,,22210
2013-01-10,,,,,2685.12,,,,,,,,,,,,,,,,,,,,,2685.12
2013-01-15,,,,,5.81,,,,,,,,,,,,,,,,,,,,,5.81
2013-01-16,,,,,79.38,,,,,,,,,,,,,,,,,,,,,79.38
2013-01-17,,,,,1380.57,,,,,,,,,,,,,,,,,,,,,1380.57
2013-01-22,,,,,495.68,,,,,,,,,,,,,,,,,,,,,495.68
2013-01-23,136827.94,,4622.99,,310,,,,,,,,,,,,,,,,,,,,,141760.93
2013-01-28,,,,,443.59,,,,,,,,,,,,,,,,,,,,,443.59
2013-01-30,,,,,193.59,,,,,,,,,,,,,,,,,,,,,193.59
2013-02-07,,,,,6143.64,,,,,,,,,,,,,,,,,,,,,6143.64
2013-02-08,22860,,,,698.45,,,,,,,,,,,,,,,,,,,,,23558.45
2013-02-13,,,,,2103.11,,,,,,,,,,,,,,,,,,,,,2103.11
2013-02-19,,,,,300,,,,,,,,,,,,,,,,,,,,,300
2013-02-20,,,,,10.95,,,,,,,,,,,,,,,,,,,,,10.95
2013-02-21,136313.07,,4622.99,,3862.1,,,,,,,,,,,,,,,,,,,,,144798.16
2013-02-22,,,,,1113.34,,,,,,,,,,,,,,,,,,,,,1113.34
2013-02-28,,,,,4655.23,,,,,,,,,,,,,,,,,,,,,4655.23
2013-03-08,,,,,4481.98,,,,,,,,,,,,,,,,,,,,,4481.98
2013-03-11,23510,,,,,,,,,,,,,,,,,,,,,,,,,23510
2013-03-14,,,,,2403.6,,,,,,,,,,,,,,,,,,,,,2403.6
2013-03-18,,,,,5190.12,,,,,,,,,,,,,,,,,,,,,5190.12
2013-03-21,135482.79,,3922.99,,563.25,,,,,,,,,,,,,,,,,,,,,139969.03
2013-03-25,,,,,1042.96,,,,,,,,,,,,,,,,,,,,,1042.96
2013-03-27,17500,,,,1641.2,,,,,,,,,,,,,,,,,,,,,19141.2
2013-03-28,,,,,66.84,,,,,,,,,,,,,,,,,,,,,66.84
2013-03-29,,,,,2011.44,,,,,,,,,,,,,,,,,,,,,2011.44
2013-04-03,,,,,6260.3,,,,,,,,,,,,,,,,,,,,,6260.3
2013-04-04,,,,,1000.75,,,,,,,,,,,,,,,,,,,,,1000.75
2013-04-09,97640.61,,,,1209.1,,,,,,,,,,,,,,,,,,,,,98849.71
2013-04-17,797.55,,,,203.4,,,,,,,,,,,,,,,,,,,,,1000.95
2013-04-19,,,,,2425.49,,,,,,,,,,,,,,,,,,,,,2425.49
2013-04-22,400,,,,3919.91,,,,,,,,,,,,,,,,,,,,,4319.91
2013-04-23,139469.59,,3792.99,,,,,,,,,,,,,,,,,,,,,,,143262.58
2013-04-24,17276,,,,361.34,,,,,,,,,,,,,,,,,,,,,17637.34
2013-04-29,,,,,3099.23,,,,,,,,,,,,,,,,,,,,,3099.23
2013-05-06,,,,,2744,,,,,,,,,,,,,,,,,,,,,2744
2013-05-10,,,,,3959,,,,,,,,,,,,,,,,,,,,,3959
2013-05-13,23110,,,,1986.55,,,,,,,,,,,,,,,,,,,,,25096.55
2013-05-14,,,,,864.52,,,,,,,,,,,,,,,,,,,,,864.52
2013-05-15,,,,,2307.78,,,,,,,,,,,,,,,,,,,,,2307.78
2013-05-18,139674.16,,3637.99,,201.58,,,,,,,,,,,,,,,,,,,,,143513.73
2013-05-23,,,,,682.31,,,,,,,,,,,,,,,,,,,,,682.31
2013-05-29,266.67,,,,2299.53,,,,,3936,,,,,,,,,,,,,,,,6502.2
2013-05-30,,,,,872.02,,,,,,,,,,,,,,,,,,,,,872.02
2013-05-31,,,,,1808.93,,,,,,,,,,,,,,,,,,,,,1808.93
2013-06-07,,,,,664.79,,,,,,,,,,,,,,,,,,,,,664.79
2013-06-10,,,,,209.75,,,,,,,,,,,,,,,,,,,,,209.75
2013-06-11,,,,,1280,,,,,,,,,,,,,,,,,,,,,1280
2013-06-12,23660,,,,,,,,,,,,,,,,,,,,,,,,,23660
2013-06-14,,,,,3539.51,,,,,,,,,,,,,,,,,,,,,3539.51
2013-06-17,,,,,201.6,,,,,,,,,,,,,,,,,,,,,201.6
2013-06-18,,,,,511.42,,,,,,,,,,,,,,,,,,,,,511.42
2013-06-19,,,,,615.95,,,,,,,,,,,,,,,,,,,,,615.95
2013-06-24,141440.17,,3637.99,,807.45,,,,,,,,,,,,,,,,,,,,,145885.61
2013-06-27,,,,,4343.56,,,,,,,,,,,,,,,,,,,,,4343.56
2013-06-28,,,,,1254.29,,,,,,,,,,,,,,,,,,,,,1254.29
2013-07-05,,,,,1060.87,,,,,,,,,,,,,,,,,,,,,1060.87
2013-07-10,24260,,,,217.37,,,,,,,,,,,,,,,,,,,,,24477.37
2013-07-12,,,,,2074.7,,,,,,,,,,,,,,,,,,,,,2074.7
2013-07-16,,,,,532.1,,,,,,,,,,,,,,,,,,,,,532.1
2013-07-17,,,,,1380.34,,,,,,,,,,,,,,,,,,,,,1380.34
2013-07-19,,,,,82.37,,,,,,,,,,,,,,,,,,,,,82.37
2013-07-23,173418.69,,3637.99,,4598.43,,,,,,,,,,,,,,,,,,,,,181655.11
2013-07-24,,,,,620.2,,,,,,,,,,,,,,,,,,,,,620.2
2013-07-26,,,,,43.42,,,,,,,,,,,,,,,,,,,,,43.42
2013-07-29,,,,,3915.78,,,,,,,,,,,,,,,,,,,,,3915.78
2013-07-30,,,,,600,,,,,,,,,,,,,,,,,,,,,600
