0136000003 - ГДБОП,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-02,,,,,5000,,,,,,,,,,,,,,,,,,,,,5000
2012-08-06,,,,,1668.59,,,,,,,,,,,,,,,,,,,,,1668.59
2012-08-08,,,,,2130.79,,,,,,,,,,,,,,,,,,,,,2130.79
2012-08-10,39050,,,,62136.4,,,,,,,,,,,,,,,,,,,,,101186.4
2012-08-13,,,,,,,,,,,,,,,,391.58,,,,,,,,,,391.58
2012-08-16,,,,,1800,,,,,,,,,,,,,,,,,,,,,1800
2012-08-20,,,,,15284.84,,,,,,,,,,,,,,,,,,,,,15284.84
2012-08-22,489390.72,55659.44,6316.55,,,,,,,,,,,,,,,,,,,,,,,551366.71
2012-08-23,15672.56,,1537.39,,,,,,,,,,,,,,,,,,,,,,,17209.95
2012-08-24,11409.38,413.44,,,8745,,,,,,,,,,,,,,,,,,,,,20567.82
2012-08-29,18532.8,,,,,,,,,,,,,,,,,,,,,,,,,18532.8
2012-08-30,,,100,,,,,,,,,,,,,,,,,,,,,,,100
2012-08-31,,,,,1628.52,,,,,,,,,,,,,,,,,,,,,1628.52
2012-09-07,12827.54,,,,12718.04,,,,,,,,,,,,,,,,,,,,,25545.58
2012-09-10,,,,,218422.56,,,,,,,,,,,,,,,,,,,,,218422.56
2012-09-11,,,,,,,,,,,,,,,,391.59,,,,,,,,,,391.59
2012-09-12,39050,,,,4309.19,,,,,,,,,,,,,,,,,,,,,43359.19
2012-09-21,576830.43,56051.53,7841.23,,10000,,,,,,,,,,,,,,,,,,,,,650723.19
2012-09-24,31412,,,,,,,,,,,,,,,,,,,,,,,,,31412
2012-09-25,,,,,12459.66,,,,,,,,,,,,,,,,,,,,,12459.66
2012-09-28,,,,,183.81,,,,,,,,,,,,,,,,,,,,,183.81
2012-09-29,,,1249.1,,876.9,,,,,,,,,,,,,,,,,,,,,2126
2012-10-05,,,,,25000,,,,,,,,,,,,,,,,,,,,,25000
2012-10-08,,,,,1908.76,,,,,,,,,,,,,,,,,,,,,1908.76
2012-10-10,38640,,,,6080.08,,,,,,,,,,,,,,,,,,,,,44720.08
2012-10-11,,,,,682.02,,,,,,,,,,,392.58,,,,,,,,,,1074.6
2012-10-12,,,,,6000,,,,,,,,,,,,,,,,,,,,,6000
2012-10-17,,,,,1015.19,,,,,,,,,,,,,,,,,,,,,1015.19
2012-10-19,6315.96,,,,9828.46,,,,,,,,,,,,,,,,,,,,,16144.42
2012-10-22,515438.56,55824.56,7691.4,,,,,,,,,,,,,,,,,,,,,,,578954.52
2012-10-26,,,1000,,4287.43,,,,,,,,,,,,,,,,,,,,,5287.43
2012-10-31,10502.64,841.7,,,34655.66,,,,,,,,,,,,,,,,,,,,,46000
2012-11-06,199.8,22.2,,,41551.86,,,,,,,,,,,,,,,,,,,,,41773.86
2012-11-08,41560,,,,3194,,,,,,,,,,,,,,,,,,,,,44754
2012-11-12,,,,,4649.2,,,,,,,,,,,392.96,,,,,,,,,,5042.16
2012-11-13,,,,,828,,,,,16600,,,,,,,,,,,,,,,,17428
2012-11-19,,,,,13020.24,,,,,,,,,,,,,,,,,,,,,13020.24
2012-11-20,507019.08,57142.83,7143.19,,12998.74,,,,,,,,,,,,,,,,,,,,,584303.84
2012-11-29,,,,,2417.9,,,,,,,,,,,,,,,,,,,,,2417.9
2012-12-10,32280,,,,5246.25,,,,,,,,,,,,,,,,,,,,,37526.25
2012-12-12,,,,,3780.64,,,,,,,,,,,392.21,,,,,,,,,,4172.85
2012-12-13,416.64,,,,9375,,,,,,,,,,,,,,,,,,,,,9791.64
2012-12-14,10010.41,810.47,,,450,,,,,,,,,,,,,,,,,,,,,11270.88
2012-12-15,647449.11,68577.92,6335.04,,93790.26,,,,,,,,,,,,,,,,,,,,,816152.33
2012-12-18,,,,,1271,,,,,,,,,,,,,,,,,,,,,1271
2012-12-20,688.64,54.72,,,2259.11,,,,,,,,,,,,,,,,,,,,,3002.47
2013-01-07,,,1268.21,,190000,,,,,,,,,,,,,,,,,,,,,191268.21
2013-01-08,41670,,,,2992.78,,,,,,,,,,,,,,,,,,,,,44662.78
2013-01-14,,,,,2046,,,,,,,,,,,395.76,,,,,,,,,,2441.76
2013-01-18,,,,,12344.82,,,,,,,,,,,,,,,,,,,,,12344.82
2013-01-22,,,,,1447.74,,,,,,,,,,,,,,,,,,,,,1447.74
2013-01-23,546488.98,,7481.09,,,,,,,,,,,,,,,,,,,,,,,553970.07
2013-01-30,,,,,5901.62,,,,,,,,,,,,,,,,,,,,,5901.62
2013-02-05,,,,,25000,,,,,,,,,,,,,,,,,,,,,25000
2013-02-06,,,,,947.94,,,,,,,,,,,,,,,,,,,,,947.94
2013-02-08,41560,,,,201194,,,,,,,,,,,,,,,,,,,,,242754
2013-02-11,,,,,1321.2,,,,,,,,,,,,,,,,,,,,,1321.2
2013-02-13,,,,,15105.94,,,,,,,,,,,328.73,,,,,,,,,,15434.67
2013-02-21,581924.33,,7949.13,,4000,,,,,,,,,,,,,,,,,,,,,593873.46
2013-02-25,12543.12,,,,25115.5,,,,,,,,,,,,,,,,,,,,,37658.62
2013-02-26,4726.16,,,,4530,,,,,,,,,,,,,,,,,,,,,9256.16
2013-02-27,,,,,4804.95,,,,,,,,,,,,,,,,,,,,,4804.95
2013-03-05,,,,,1507.37,,,,,,,,,,,,,,,,,,,,,1507.37
2013-03-07,,,,,2690.4,,,,,,,,,,,,,,,,,,,,,2690.4
2013-03-08,41800,,,,20000,,,,,,,,,,,,,,,,,,,,,61800
2013-03-12,,,,,3890.55,,,,,,,,,,,3647.38,,,,,,,,,,7537.93
2013-03-13,,,,,496.78,,,,,,,,,,,,,,,,,,,,,496.78
2013-03-15,,,,,9094.65,,,,,,,,,,,,,,,,,,,,,9094.65
2013-03-18,,,,,262.41,,,,,,,,,,,,,,,,,,,,,262.41
2013-03-21,563166.79,,7053.75,,12000,,,,,,,,,,,,,,,,,,,,,582220.54
2013-03-22,58943.2,,,,,,,,,,,,,,,,,,,,,,,,,58943.2
2013-03-27,,,1875,,18058.72,,,,,,,,,,,,,,,,,,,,,19933.72
2013-04-09,242140,,,,8783.02,,,,,,,,,,,,,,,,,,,,,250923.02
2013-04-11,,,,,5890,,,,,,,,,,,328.73,,,,,,,,,,6218.73
2013-04-18,,,,,10844.99,,,,,,,,,,,,,,,,,,,,,10844.99
2013-04-22,553771.76,,9076.59,,20000,,,,,,,,,,,,,,,,,,,,,582848.35
2013-04-25,74248.48,,,,3066.2,,,,,,,,,,5000,,,,,,,,,,,82314.68
2013-04-30,,,,,1054.23,,,,,,,,,,,,,,,,,,,,,1054.23
2013-05-06,,,,,1486.24,,,,,,,,,,,,,,,,,,,,,1486.24
2013-05-10,42630,,,,,,,,,,,,,,,,,,,,,,,,,42630
2013-05-13,,,,,,,,,,,,,,,,328.73,,,,,,,,,,328.73
2013-05-14,,,,,10410.3,,,,,,,,,,,,,,,,,,,,,10410.3
2013-05-17,8660.89,,,,30180.17,,,,,,,,,,,,,,,,,,,,,38841.06
2013-05-18,63.24,,,,3290.53,,,,,,,,,,,1.16,,,,,,,,,,3354.93
2013-05-20,556309.64,,8914.26,,25000,,,,,,,,,,,,,,,,,,,,,590223.9
2013-05-27,52583.84,,,,,,,,,,,,,,,,,,,,,,,,,52583.84
2013-05-30,,,,,6417.24,,,,,,,,,,,,,,,,,,,,,6417.24
2013-06-10,,,,,1631.15,,,,,,,,,,,,,,,,,,,,,1631.15
2013-06-11,44630,,,,24000,,,,,,,,,,,328.73,,,,,,,,,,68958.73
2013-06-13,,,,,10620.32,,,,,,,,,,,,,,,,,,,,,10620.32
2013-06-21,558944.25,,14774.57,,,,,,,,,,,,,,,,,,,,,,,573718.82
2013-06-24,,,,,3818.02,,,,,,,,,,,,,,,,,,,,,3818.02
2013-06-26,15000,,,,,,,,,,,,,,,,,,,,,,,,,15000
2013-06-28,,,,,1115.72,,,,,,,,,,,,,,,,,,,,,1115.72
2013-07-03,,,,,2113.12,,,,,,,,,,,,,,,,,,,,,2113.12
2013-07-05,,,,,533.96,,,,,,,,,,,,,,,,,,,,,533.96
2013-07-09,43990,,,,2250,,,,,,,,,,,,,,,,,,,,,46240
2013-07-11,,,,,916.09,,,,,,,,,,,328.73,,,,,,,,,,1244.82
2013-07-12,,,,,48,,,,,,,,,,,,,,,,,,,,,48
2013-07-15,8000,,,,12640.2,,,,,,,,,,,,,,,,,,,,,20640.2
2013-07-23,661622.59,,10593.36,,500,,,,,,,,,,,,,,,,,,,,,672715.95
2013-07-30,,,,,3669.95,,,,,,,,,,,,,,,,,,,,,3669.95
2013-08-02,,,,,1500,,,,,,,,,,,,,,,,,,,,,1500
2013-08-09,40940,,,,2751.29,,,,,,,,,,,,,,,,,,,,,43691.29
2013-08-14,,,,,5973.87,,,,,,,,,,,328.73,,,,,,,,,,6302.6
2013-08-19,,,,,7546.76,,,,,,,,,,,,,,,,,,,,,7546.76
2013-08-22,499720.56,,8898.61,,500,,,,,,,,,,,,,,,,,,,,,509119.17
2013-08-28,25007.36,,,,1400.82,,,,,,,,,,,,,,,,,,,,,26408.18
2013-08-29,4903.74,,,,10755.67,,,,,,,,,,,,,,,,,,,,,15659.41
2013-08-30,2463.96,,,,6645.63,,,,,,,,,,,,,,,,,,,,,9109.59
2013-09-09,,,,,4788.07,,,,,,,,,,,,,,,,,,,,,4788.07
2013-09-10,41190,,,,,,,,,,,,,,,,,,,,,,,,,41190
2013-09-11,,,,,,,,,,,,,,,,328.73,,,,,,,,,,328.73
2013-09-12,,,,,24,,,,,,,,,,,,,,,,,,,,,24
2013-09-18,,,,,6349.56,,,,,,,,,,,,,,,,,,,,,6349.56
2013-09-20,,,,,12871.69,,,,,,,,,,,,,,,,,,,,,12871.69
2013-09-23,,,,,900,,,,,,,,,,,,,,,,,,,,,900
2013-09-24,463008.75,,8912.1,,,,,,,,,,,,,,,,,,,,,,,471920.85
2013-09-25,11995.2,,,,,,,,,,,,,,,,,,,,,,,,,11995.2
2013-09-27,,,,,9112,,,,,,,,,,,932.75,,,,,,,,,,10044.75
2013-09-30,57097.86,,419.16,,6870.9,,,,,,,,,,,,,,,,,,,,,64387.92
