0138000002 - Дирекция "НС 112",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-03,,,,,236.32,,,,,,,,,,,,,,,,,,,,,236.32
2012-08-10,,,,,3540.18,,,,,,,,,,,,,,,,,,,,,3540.18
2012-08-13,,,,,1615.25,,,,,,,,,,,,,,,,,,,,,1615.25
2012-08-14,44740,,,,1862.27,,,,,,,,,,,,,,,,,,,,,46602.27
2012-08-16,,,,,3558.25,,,,,,,,,,,,,,,,,,,,,3558.25
2012-08-17,,,,,16329.85,,,,,,,,,,,,,,,,,,,,,16329.85
2012-08-21,,,,,311.01,,,,,,,,,,,,,,,,,,,,,311.01
2012-08-24,,,,,808.05,,,,,,,,,,,,,,,,,,,,,808.05
2012-08-28,241494.63,28559.51,7618.93,,21.6,,,,,,,,,,,,,,,,,,,,,277694.67
2012-08-30,,,,,12920.21,,,,,,,,,,,,,,,,,,,,,12920.21
2012-08-31,,,,,17280,,,,,,,,,,,,,,,,,,,,,17280
2012-09-11,,,,,6304.89,,,,,,,,,,,,,,,,,,,,,6304.89
2012-09-12,44690,,,,,,,,,,,,,,,,,,,,,,,,,44690
2012-09-14,,,,,550.45,,,,,,,,,,,,,,,,,,,,,550.45
2012-09-24,,,,,11707.49,,,,,,,,,,,,,,,,,,,,,11707.49
2012-09-25,235050.45,28222.86,7315.43,,361845.85,,,,,,,,,,,,,,,,,,,,,632434.59
2012-09-27,,,,,592.21,,,,,,,,,,,,,,,,,,,,,592.21
2012-09-28,,,,,18454,,,,,,,,,,,,,,,,,,,,,18454
2012-10-03,,,,,200,,,,,,,,,,,,,,,,,,,,,200
2012-10-05,,,,,1318.5,,,,,,,,,,,,,,,,,,,,,1318.5
2012-10-06,,,,,85,,,,,,,,,,,,,,,,,,,,,85
2012-10-08,,,,,1043.57,,,,,,,,,,,,,,,,,,,,,1043.57
2012-10-10,44990,,,,,,,,,,,,,,,,,,,,,,,,,44990
2012-10-11,,,,,8361.74,,,,,,,,,,,,,,,,,,,,,8361.74
2012-10-22,,,,,5774.32,,,,,,,,,,,,,,,,,,,,,5774.32
2012-10-24,258542.21,30913.1,7819.89,,3000,,,,,,,,,,,,,,,,,,,,,300275.2
2012-10-25,,,,,10991.65,,,,,,,,,,,,,,,,,,,,,10991.65
2012-10-30,,,,,1589.34,,,,,,,,,,,,,,,,,,,,,1589.34
2012-10-31,,,,,12361.37,,,,,,,,,,,,,,,,,,,,,12361.37
2012-11-07,,,,,4544.73,,,,,,,,,,,,,,,,,,,,,4544.73
