0139890003 - Фонд за безопасност на движението,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-10,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2012-08-23,,,,,,,,,,,,,,,,140,,,,,,,,,,140
2012-08-29,,,,,,,,,,,,,,,,310,,,,,,,,,,310
2012-09-05,,,,,,,,,,,,,,,,315,,,,,,,,,,315
2012-09-07,,,,,,,,,,,,,,,,1080,,,,,,,,,,1080
2012-09-14,,,,,,,,,,,,,,,,170,,,,,,,,,,170
2012-09-19,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2012-09-24,,,,,,,,,,,,,,,,165,,,,,,,,,,165
2012-09-25,,,,,19712.34,,,,,,,,,,,,,,,,,,,,,19712.34
2012-10-03,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2012-10-08,,,,,,,,,,,,,,,,570,,,,,,,,,,570
2012-10-31,,,,,24996,,,,,,,,,,,420,,,,,,,,,,25416
2012-11-09,,,,,,,,,,,,,,,,1052,,,,,,,,,,1052
2012-11-26,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000
2012-12-13,,,,,336868.23,,,,,,,,,,,,,,,,,,,,,336868.23
2012-12-17,,,,,,,,,,,,,,,,1030,,,,,,,,,,1030
2012-12-20,,,,,10982.04,,,,,,,,,,,,,,,,,,,,,10982.04
2012-12-21,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2013-01-29,,,,,,,,,,,,,,,,535,,,,,,,,,,535
2013-02-14,,,,,75891,,,,,,,,,,,,,,,,,,,,,75891
2013-02-22,,,,,,,,,,,,,,,,740,,,,,,,,,,740
2013-02-25,,,,,,,,,,,,,,,,170,,,,,,,,,,170
2013-02-28,,,,,3825,,,,,,,,,,,,,,,,,,,,,3825
2013-03-08,,,,,,,,,,699960,,,,,,,,,,,,,,,,699960
2013-03-12,,,,,68166,,,,,,,,,,,,,,,,,,,,,68166
2013-03-13,,,,,,,,,,,25000,,,,,,,,,,,,,,,25000
2013-03-19,,,,,3750,,,,,371250,,,,,,1295,,,,,,,,,,376295
2013-04-05,,,,,75767.4,,,,,,,,,,,,,,,,,,,,,75767.4
2013-04-16,,,,,,,,,,,,,,,,395,,,,,,,,,,395
2013-04-17,,,,,,,,,,,,,,,,215,,,,,,,,,,215
2013-04-23,,,,,46871.4,,,,,,,,,,,,,,,,,,,,,46871.4
2013-04-26,,,,,3900,,,,,,,,,,,,,,,,,,,,,3900
2013-05-13,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2013-05-16,,,,,,,,,,,,,,,,920,,,,,,,,,,920
2013-05-22,,,,,50771.4,,,,,,,,,,,,,,,,,,,,,50771.4
2013-06-07,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2013-06-26,,,,,50771.4,,,,,,,,,,,605,,,,,,,,,,51376.4
2013-06-27,,,,,,,,,,,,,,,,330,,,,,,,,,,330
2013-07-05,,,,,177300,,,,,,,,,,,350,,,,,,,,,,177650
2013-07-31,,,,,126762.6,,,,,,,,,,,,,,,,,,,,,126762.6
2013-08-08,,,,,,,,,,,,,,,,990,,,,,,,,,,990
2013-09-13,,,,,,,,,,,,,,,,620,,,,,,,,,,620
2013-09-25,,,,,24996,,,,,,,,,,,,,,,,,,,,,24996
2013-09-27,,,,,101542.8,,,,,,,,,,,685,,,,,,,,,,102227.8
2013-10-17,,,,,75767.4,,,,,,,,,,,,,,,,,,,,,75767.4
2013-10-18,,,,,,,,,,,,,,,,480,,,,,,,,,,480
2013-10-21,,,,,,,,,,,,,,,,385,,,,,,,,,,385
2013-10-22,,,,,,,,,,,,,,,,2632.48,,,,,,,,,,2632.48
2013-10-23,,,,,,,,,,,,,,,,815,,,,,,,,,,815
2013-10-25,,,,,,,,,,,,,,,,475,,,,,,,,,,475
2013-11-01,,,,,,,,,,,,,,,,310,,,,,,,,,,310
2013-11-18,,,,,50771.4,,,,,,,,,,,,,,,,,,,,,50771.4
2013-11-20,,,,,,,,,,,,,,,,515,,,,,,,,,,515
2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,-5097.48,,-5097.48
2013-11-29,,,,,,,,,,,,,,,,765,,,,,,,,,,765
2013-12-10,,,,,21777.94,,,,,,,,,,,,,,,,,,,,,21777.94
2013-12-12,,,,,,,,,,,,,,,,1125,,,,,,,,,,1125
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,-1125,,-1125
2013-12-17,,,,,,,,,,,,,,,,100,,,,,,,,,,100
2013-12-19,,,,,184680,,,,,,,,,,,,,,,,,,,,,184680
2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,-100,,-100
2014-01-16,,,,,29899.2,,,,,,,,,,,,,,,,,,,,,29899.2
