Всички,Дирекция,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-01,013060**** - ГД "Национална полиция",,,,,2.07,,,,,,,,,,,,,,,,,,,,,2.07
2012-08-01,0131000227 - ОД на МВР - София,,,,,5201.08,,,,,,,,,,,,,,,,,,,,,5201.08
2012-08-02,0130310001 - САД "ПУБ",400,,,,101309.34,,,,2000,,,,,,,,,,,,,,,,,103709.34
2012-08-02,013036**** - Медицински институт,,,,,1354.98,,,,,,,,,,,25702.1,,,,,,,,,,27057.08
2012-08-02,0130370000 - НСПО - ПУБ Китен,,,,,4856.58,,,,,,,,,,,17752.19,,,,,,,,,,22608.77
2012-08-02,013070**** - ГД "Гранична полиция",,,,,5560,,,,,,,,,,,,,,,,,,,,,5560
2012-08-02,0131000119 - ОД на МВР - Монтана,,,,,1393.82,,,,,,,,,,,,,,,,,,,,,1393.82
2012-08-02,0133000000 - Държавна агенция за бежанците,,,,,10000,,,,,,,,,,,,,,,,,,,,,10000
2012-08-02,0136000003 - ГДБОП,,,,,5000,,,,,,,,,,,,,,,,,,,,,5000
2012-08-02,013700**** - ГД ПБЗН,300,,,,102292.87,,,,,,,,,,101.88,,,,,,,,,,,102694.75
2012-08-03,0130000006 - МВР ЦУ,,,,,44909.23,,,,,,,,,,,,,,,,,,,,,44909.23
2012-08-03,0130310001 - САД "ПУБ",,77.25,,,99312.37,,,,,,,,,,50,,,,,,,,,,,99439.62
2012-08-03,013032**** - САД "УССД",,,,,1580.66,,,,,,,,,,,130033.77,,,,,,,,,,131614.43
2012-08-03,013034**** - Академия на МВР,2559.77,43.91,,,833.9,,,,,,,,,,,,,,,,,,,,,3437.58
2012-08-03,013036**** - Медицински институт,,,,,847.65,,,,,,,,,,,741.16,,,,,,,,,,1588.81
2012-08-03,013070**** - ГД "Гранична полиция",1200,,942.99,,36300.38,,,,,,,,,,,14799.69,,,,,,,,,,53243.06
2012-08-03,0130900008 - САД "Международни проекти",,,,,4634.45,,,,,,,,,,,,,,,,,,,,,4634.45
2012-08-03,0131000021 - ОД на МВР - Бургас,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
2012-08-03,0131000037 - ОД на МВР - Варна,,,,,17420.42,,,,,,,,,,,,,,,,,,,,,17420.42
2012-08-03,0131000079 - ОД на МВР - Габрово,,,,,1400.8,,,,,,,,,,,1151.64,,,,,,,,,,2552.44
2012-08-03,0131000090 - ОД на МВР - Кърджали,,,,,5987.95,,,,,,,,,,,2000,,,,,,,,,,7987.95
2012-08-03,0131000119 - ОД на МВР - Монтана,,,,,790.02,,,,,,,,,,,,,,,,,,,,,790.02
2012-08-03,0131000145 - ОД на МВР - Перник,,,,,2516.18,,,,,,,,,,,,,,,,,,,,,2516.18
2012-08-03,0131000192 - ОД на МВР - Силистра,,,,,2341.8,,,,,,,,,,,,,,,,,,,,,2341.8
2012-08-03,0131000211 - ОД на МВР - Смолян,,,,,12257.59,,,,,,,,,,,2000,,,,,,,,,,14257.59
2012-08-03,0131000253 - ОД на МВР - Хасково,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
2012-08-03,0134000004 - САД "КИС",4000,,,,,,,,,,,,,,,,,,,,,,,,,4000
2012-08-03,013700**** - ГД ПБЗН,175,,1418.73,,76907.2,,,,,,,,,,,10.4,,,,,,,,,,78511.33
2012-08-03,0138000002 - Дирекция "НС 112",,,,,236.32,,,,,,,,,,,,,,,,,,,,,236.32
2012-08-06,0130000006 - МВР ЦУ,,,,,707674.66,,,,,2253.6,,,,,,,,,,,,,,,,709928.26
2012-08-06,013032**** - САД "УССД",,,,,1944.76,,,,,,,,,,,18040.59,,,,,,,,,,19985.35
2012-08-06,0130330008 - СД "ОТО",,,,,10000,,,,,,,,,,,10000,,,,,,,,,,20000
2012-08-06,013034**** - Академия на МВР,,,,,13551,,,,,,,,,,,,,,,,,,,,,13551
2012-08-06,0130350004 - ИСТ,,,,,179.7,,,,,,,,,,,,,,,,,,,,,179.7
2012-08-06,013036**** - Медицински институт,266.67,,,,82878.52,,,,,,,,,,,261.06,,,,,,,,,,83406.25
2012-08-06,013060**** - ГД "Национална полиция",,,,,9028.76,,,,,,,,,,,,,,,,,,,,,9028.76
2012-08-06,013070**** - ГД "Гранична полиция",412,,,,20331.89,,,,,1450.62,,,,,,1716.03,,,,,,,,,,23910.54
2012-08-06,0131000016 - ОД на МВР - Благоевград,,,,,,,,,,,,,,,,300,,,,,,,,,,300
2012-08-06,0131000021 - ОД на МВР - Бургас,,,,,40,,,,,,,,,,,,,,,,,,,,,40
2012-08-06,0131000042 - ОД на МВР - В. Търново,647.22,,,,15390.87,,,,,,,,,,,75.1,,,,,,,,,,16113.19
2012-08-06,0131000058 - ОД на МВР - Видин,,,,,6882.34,,,,,,,,,,,,,,,,,,,,,6882.34
2012-08-06,0131000103 - ОД на МВР - Кюстендил,,,,,2000,,,,,,,,,,,10000,,,,,,,,,,12000
2012-08-06,0131000119 - ОД на МВР - Монтана,,,,,,,,,,4865,,,,,,,,,,,,,,,,4865
2012-08-06,0131000124 - ОД на МВР - Ловеч,,,,,12412.34,,,,,,,,,,,1732.39,,,,,,,,,,14144.73
2012-08-06,0131000130 - ОД на МВР - Пазарджик,,,,,1350,,,,,,,,,,,,,,,,,,,,,1350
2012-08-06,0131000150 - ОД на МВР - Плевен,,,,,671.23,,,,,,,,,,2146,,,,,,,,,,,2817.23
2012-08-06,0131000187 - ОД на МВР - Русе,,,,,25791,,,,,,,,,,,537.6,,,,,,,,,,26328.6
2012-08-06,0131000211 - ОД на МВР - Смолян,,,,,1120.86,,,,,,,,,,,255.45,,,,,,,,,,1376.31
2012-08-06,0131000227 - ОД на МВР - София,,,,,22813.27,,,,,,,,,,,,,,,,,,,,,22813.27
2012-08-06,0133000000 - Държавна агенция за бежанците,,,,,15000,,,,,,,,,,,,,,,,,,,,,15000
2012-08-06,0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,845.25,,,,,,,,,,,,,,,,,,,,,845.25
2012-08-06,0136000003 - ГДБОП,,,,,1668.59,,,,,,,,,,,,,,,,,,,,,1668.59
2012-08-06,013700**** - ГД ПБЗН,,,324.08,,441340.01,,,,,,,,,,,,,,,,,,,,,441664.09
2012-08-07,0130000006 - МВР ЦУ,,,,,191581.2,,,,,,,,,,,,,,,,,,,,,191581.2
2012-08-07,013032**** - САД "УССД",2774.55,,,,31136.27,,,,,,,,,,,8479.19,,,,,,,,,,42390.01
2012-08-07,0130330008 - СД "ОТО",,,,,220,,,,,,,,,,,,,,,,,,,,,220
2012-08-07,013034**** - Академия на МВР,17360,,,,22855.01,,,,,,,,,,,5664.53,,,,,,,,,,45879.54
2012-08-07,013060**** - ГД "Национална полиция",,,,,4696,,,,,,,,,,,,,,,,,,,,,4696
2012-08-07,013070**** - ГД "Гранична полиция",,,,,7941.9,,,,,,,,,,,157.7,,,,,,,,,,8099.6
2012-08-07,0130900008 - САД "Международни проекти",,,,,32171.02,,,,,,,,,47821.2,,,,,,,,,,,,79992.22
2012-08-07,0131000021 - ОД на МВР - Бургас,,,,,5038,,,,,,,,,,,,,,,,,,,,,5038
2012-08-07,0131000037 - ОД на МВР - Варна,,,,,2943.83,,,,,,,,,,,118,,,,,,,,,,3061.83
2012-08-07,0131000042 - ОД на МВР - В. Търново,1904.67,,,,,,,,,,,,,,,1635.97,,,,,,,,,,3540.64
2012-08-07,0131000058 - ОД на МВР - Видин,,,,,639.29,,,,,,,,,,,,,,,,,,,,,639.29
2012-08-07,0131000063 - ОД на МВР - Враца,,,,,654,,,,,,,,,,,7000,,,,,,,,,,7654
2012-08-07,0131000079 - ОД на МВР - Габрово,,,,,2665.45,,,,,,,,,,,19.8,,,,,,,,,,2685.25
2012-08-07,0131000145 - ОД на МВР - Перник,,,,,,,,,,,,,,,3000,,,,,,,,,,,3000
2012-08-07,0131000150 - ОД на МВР - Плевен,,,,,2424.02,,,,,,,,,,,,,,,,,,,,,2424.02
2012-08-07,0131000166 - ОД на МВР - Пловдив,,,,,150.23,,,,,,,,,,,,,,,,,,,,,150.23
2012-08-07,0131000171 - ОД на МВР - Разград,,,,,4504.17,,,,,,,,,,,3500,,,,,,,,,,8004.17
2012-08-07,0131000187 - ОД на МВР - Русе,,,,,,,,,,,,,,,,5603.3,,,,,,,,,,5603.3
2012-08-07,0131000192 - ОД на МВР - Силистра,,,,,14495.3,,,,,,,,,,,,,,,,,,,,,14495.3
2012-08-07,0131000269 - ОД на МВР - Шумен,200,,,,680,,,,,,,,,,,,,,,,,,,,,880
2012-08-07,0133000000 - Държавна агенция за бежанците,,,,,30,,,,,,,,,,,,,,,,,,,,,30
2012-08-08,0130000006 - МВР ЦУ,,,,,55.9,,,,,2401.74,,,,,,,,,,,,,,,,2457.64
2012-08-08,0130310001 - САД "ПУБ",,,,,11285.6,,,,,,,,,,,,,,,,,,,,,11285.6
2012-08-08,013032**** - САД "УССД",,,,,33671.08,,,,,2004.52,,,,,,45747.12,,,,,,,,,,81422.72
2012-08-08,0130370000 - НСПО - ПУБ Китен,,,,,48.13,,,,,,,,,,,2200,,,,,,,,,,2248.13
2012-08-08,013040**** - СДВР,,,,,500,,,,,,,,,,22.41,570.02,,,,,,,,,,1092.43
2012-08-08,013060**** - ГД "Национална полиция",,,,,4940.33,,,,,,,,,,,6900,,,,,,,,,,11840.33
2012-08-08,013070**** - ГД "Гранична полиция",,,,,48027.98,,1496,,,,,,,,,3685.71,,,,,,,,,,53209.69
2012-08-08,0131000016 - ОД на МВР - Благоевград,,,,,,,,,,,,,,,1200,,,,,,,,,,,1200
2012-08-08,0131000021 - ОД на МВР - Бургас,,356.3,,,3615.09,,,,,,,,,,,,,,,,,,,,,3971.39
2012-08-08,0131000042 - ОД на МВР - В. Търново,,,,,32.28,,,,,,,,,,,1213.24,,,,,,,,,,1245.52
2012-08-08,0131000063 - ОД на МВР - Враца,,,,,2149.58,,,,,,,,,,,,,,,,,,,,,2149.58
2012-08-08,0131000079 - ОД на МВР - Габрово,,,,,7103.98,,,,,,,,,,,,,,,,,,,,,7103.98
2012-08-08,0131000090 - ОД на МВР - Кърджали,,,,,3000,,,,,,,,,,,,,,,,,,,,,3000
2012-08-08,0131000124 - ОД на МВР - Ловеч,,,,,86.87,,,,,,,,,,657.35,,,,,,,,,,,744.22
2012-08-08,0131000145 - ОД на МВР - Перник,,,,,,,,,,,,,,,68,,,,,,,,,,,68
2012-08-08,0131000150 - ОД на МВР - Плевен,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
2012-08-08,0131000192 - ОД на МВР - Силистра,,,,,343.16,,,,,,,,,,,,,,,,,,,,,343.16
2012-08-08,0131000206 - ОД на МВР - Сливен,,,,,97.9,,,,,,,,,,,,,,,,,,,,,97.9
2012-08-08,0131000248 - ОД на МВР - Търговище,,,,,17216.27,,,,,,,,,,,,,,,,,,,,,17216.27
2012-08-08,0131000253 - ОД на МВР - Хасково,,,,,28567.52,,,,,,,,,,,327.38,,,,,,,,,,28894.9
2012-08-08,0133000000 - Държавна агенция за бежанците,,,,,50669.86,,,,,,,,,,,,,,,,,,,,,50669.86
2012-08-08,0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,3431.59,,,,,,,,,,,,,,,,,,,,,3431.59
2012-08-08,0136000003 - ГДБОП,,,,,2130.79,,,,,,,,,,,,,,,,,,,,,2130.79
2012-08-08,013700**** - ГД ПБЗН,,,33.31,,1557650.91,,,,,,,,,,900,,,,,,,,,,,1558584.22
2012-08-09,0130000006 - МВР ЦУ,,,,,90780.69,,,,,,,,,,,,,,,,,,,,,90780.69
2012-08-09,0130310001 - САД "ПУБ",68520,,50,,10935.71,,,,,,,,,,,,,,,,,,,,,79505.71
2012-08-09,013032**** - САД "УССД",1300,,,,60451.42,,,,,,,,,,,14311.82,,,,,,,,,,76063.24
2012-08-09,013034**** - Академия на МВР,64180,,,,18938.56,,,,,7207.2,,,,,,,,,,,,,,,,90325.76
2012-08-09,0130350004 - ИСТ,,,,,904.62,,,,,,,,,,,,,,,,,,,,,904.62
2012-08-09,013036**** - Медицински институт,,,210,,30171.64,,,,,,,,,,,755.63,,,,,,,,,,31137.27
