num,name
1,0130000006 - МВР ЦУ
2,0130310001 - САД "ПУБ"
3,013031**** - САД "ПУБ"
4,013032**** - САД "УССД"
5,0130330008 - СД "ОТО"
6,013034**** - Академия на МВР
7,0130350004 - ИСТ
8,013036**** - Медицински институт
9,0130370000 - НСПО - ПУБ Китен
10,0130380009 - Дирекция Миграция
11,013038**** - Дирекция Миграция
12,013040**** - СДВР
13,013060**** - ГД "Национална полиция"
14,013070**** - ГД "Гранична полиция"
15,0130900008 - САД "Международни проекти"
16,0131000016 - ОД на МВР - Благоевград
17,0131000021 - ОД на МВР - Бургас
18,0131000037 - ОД на МВР - Варна
19,0131000042 - ОД на МВР - В. Търново
20,0131000058 - ОД на МВР - Видин
21,0131000063 - ОД на МВР - Враца
22,0131000079 - ОД на МВР - Габрово
23,0131000084 - ОД на МВР - Добрич
24,0131000090 - ОД на МВР - Кърджали
25,0131000103 - ОД на МВР - Кюстендил
26,0131000119 - ОД на МВР - Монтана
27,0131000124 - ОД на МВР - Ловеч
28,0131000130 - ОД на МВР - Пазарджик
29,0131000145 - ОД на МВР - Перник
30,0131000150 - ОД на МВР - Плевен
31,0131000166 - ОД на МВР - Пловдив
32,0131000171 - ОД на МВР - Разград
33,0131000187 - ОД на МВР - Русе
34,0131000192 - ОД на МВР - Силистра
35,0131000206 - ОД на МВР - Сливен
36,0131000211 - ОД на МВР - Смолян
37,0131000227 - ОД на МВР - София
38,0131000232 - ОД на МВР - Ст.Загора
39,0131000248 - ОД на МВР - Търговище
40,0131000253 - ОД на МВР - Хасково
41,0131000269 - ОД на МВР - Шумен
42,0131000274 - ОД на МВР - Ямбол
43,0133000000 - Държавна агенция за бежанците
44,0134000004 - САД "КИС"
45,0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА
46,0136000003 - ГДБОП
47,013700**** - ГД ПБЗН
48,0138000002 - Дирекция "НС 112"
49,0139890003 - Фонд за безопасност на движението
50,013******* - Министерство на вътрешните работи
