code	name	shortname
01	Заплати, възнаграждения и други плащания за персонала - нетна сума за изплащане	Заплати и възнаграждения
02	Удържани данъци и осигурителни вноски от заплати и възнаграждения за персонала	Удържани данъци и осигуровки
03	Плащания за други удръжки от възнаграждения за персонала	Други удръжки
05	Осигурителни вноски за сметка на осигурителя (с изключение на централизирано разплащане на осигурителни вноски)	Осигуровки за сметка на осигурителя
10	Издръжка	Издръжка
18	Други разходи	Други разходи
20	Разходи за лихви	Разходи за лихви
30	Текущи субсидии за предприятия	Текущи субсидии
40	Стипендии, пенсии, помощи и текущи трансфери за домакинства	Стипендии и пенсии
50	Плащания за дълготрайни активи, основен ремонт и капиталови трансфери	Дълготрайни активи
60	Трансфери за бюджетни и извънбюджетни сметки	Трансфери
70	Възмездно финансиране - придобиване на дялове и акции, предоставени кредити и временна финансова помощ	Възмездно финансиране
80	Погашения по банкови заеми	Погашения по заеми
88	Средства на разпореждане - плащания по операции с временно съхранявани средства и средства на разпореждане	Средства на разпореждане
89	Друго финансиране - плащания за сметка на ЕС, плащания по операции с чужди средства и всички други операции в частта на финансирането, които не са обхванати от кодове 70, 80 и 88.	Друго финансиране
90	Възстановени приходи - плащания за възстановяване на надвнесени и погрешно внесени бюджетни приходи	Възстановени приходи
91	Теглене на левове в брой	Теглене на лв. в брой
92	Закупуване на валута в брой	Закупуване на валута в брой
93	Закупуване на валута в брой, по сметка и за директен превод	Закупуване на валута по сметка
94	Откриване на акредитив	Откриване на акредитив
95	Преводи чрез директен дебит и по инициатива на БНБ	Преводи чрез дир. дебит
96	Преводи по нареждане на титуляра с други платежни документи	ПРеводи с плат. док.
97	Операции по откриване/закриване на депозити	Операции по депозити
98	Служебни операции в БНБ	Служебни операции в БНБ
99	Служебни операции в БНБ	Служебни операции в БНБ
